player_id,player_code,name,date_of_birth,age,height,citizenship,position,foot,current_market_value,intl_caps,intl_goals,source_league,season_id,competition_code
776798,abdallah-sima,Abdallah Sima,17/06/2001,24.0,"1,88 m",Senegal,Attack - Left Winger,right,4000000.0,9.0,0.0,2024-premier-league,2024,premier-league
763079,abdukodir-khusanov,Abdukodir Khusanov,29/02/2004,22.0,"1,86 m",Uzbekistan,Defender - Centre-Back,right,35000000.0,25.0,0.0,2024-premier-league,2024,premier-league
864121,abdul-fatawu,Abdul Fatawu,08/03/2004,22.0,"1,77 m",Ghana,Attack - Right Winger,left,24000000.0,27.0,3.0,2024-premier-league,2024,premier-league
43530,adam-lallana,Adam Lallana,10/05/1988,38.0,"1,72 m",England,Midfield - Attacking Midfield,both,,34.0,3.0,2024-premier-league,2024,premier-league
477758,aaron-wan-bissaka,Aaron Wan-Bissaka,26/11/1997,28.0,"1,83 m",DR Congo,Defender - Right-Back,right,22000000.0,10.0,0.0,2024-premier-league,2024,premier-league
888493,alejo-veliz,Alejo Veliz,19/09/2003,22.0,"1,86 m",Argentina,Attack - Centre-Forward,right,3500000.0,10.0,3.0,2024-premier-league,2024,premier-league
71271,adrian-san-miguel,Adrián San Miguel,03/01/1987,39.0,"1,90 m",Spain,Goalkeeper,right,400000.0,0.0,0.0,2024-premier-league,2024,premier-league
381967,albert-sambi-lokonga,Albert Sambi Lokonga,22/10/1999,26.0,"1,83 m",Belgium,Midfield - Central Midfield,right,10000000.0,2.0,0.0,2024-premier-league,2024,premier-league
193098,alex-moreno,Álex Moreno,08/06/1993,32.0,"1,79 m",Spain,Defender - Left-Back,left,3500000.0,,,2024-premier-league,2024,premier-league
617009,alex-paulsen,Alex Paulsen,04/07/2002,23.0,"1,84 m",New Zealand,Goalkeeper,right,750000.0,6.0,0.0,2024-premier-league,2024,premier-league
728734,alfie-devine,Alfie Devine,01/08/2004,21.0,"1,82 m",England,Midfield - Attacking Midfield,right,6000000.0,13.0,2.0,2024-premier-league,2024,premier-league
