type,club,direction,player,player_href,age,nationality,position,market_value,origin_club,fee,source,source_league,fee_type,fee_raw,position_group,buyer,seller,premium_ratio,season_id,competition_code,net_transfer_record,squad_size,average_age,national_team_players,competition_name,country_name,league_total_market_value
transfer,Borussia Dortmund,In,Ramy Bensebaini,/ramy-bensebaini/profil/spieler/284732,28.0,Algeria,Centre-Back,20000000.0,Mönchengladbach,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,free,free transfer,Defender,Borussia Dortmund,Mönchengladbach,,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,In,Jadon Sancho,/jadon-sancho/profil/spieler/401173,23.0,England,Left Winger,25000000.0,Man Utd,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_free,loan transfer,Attacker,Borussia Dortmund,Man Utd,,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,In,Ole Pohlmann,/ole-pohlmann/profil/spieler/405690,22.0,Germany,Attacking Midfield,400000.0,B. Dortmund II,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,unknown,-,Midfielder,Borussia Dortmund,B. Dortmund II,,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,In,Thorgan Hazard,/thorgan-hazard/profil/spieler/102226,30.0,Belgium,Attacking Midfield,7000000.0,PSV,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,end_of_loan,End of loan 30/06/2023,Midfielder,Borussia Dortmund,PSV,,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,In,Ansgar Knauff,/ansgar-knauff/profil/spieler/429874,21.0,Germany,Right Winger,8000000.0,Frankfurt,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,end_of_loan,End of loan 30/06/2023,Attacker,Borussia Dortmund,Frankfurt,,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,Out,Jude Bellingham,/jude-bellingham/profil/spieler/581678,20.0,England,Attacking Midfield,120000000.0,Real Madrid,127000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€127.00m,Midfielder,Real Madrid,Borussia Dortmund,0.05833333333333335,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,Out,Ansgar Knauff,/ansgar-knauff/profil/spieler/429874,21.0,Germany,Right Winger,8000000.0,Frankfurt,5000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€5.00m,Attacker,Frankfurt,Borussia Dortmund,-0.375,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,Out,Thorgan Hazard,/thorgan-hazard/profil/spieler/102226,30.0,Belgium,Attacking Midfield,7000000.0,RSC Anderlecht,4000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,paid,€4.00m,Midfielder,RSC Anderlecht,Borussia Dortmund,-0.4285714285714286,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,Out,Giovanni Reyna,/giovanni-reyna/profil/spieler/504215,21.0,United States,Attacking Midfield,20000000.0,Nott'm Forest,1000000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_with_fee,Loan fee: €1.00m,Midfielder,Nott'm Forest,Borussia Dortmund,-0.95,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,Out,Tom Rothe,/tom-rothe/profil/spieler/798043,18.0,Germany,Left-Back,3500000.0,Holstein Kiel,350000.0,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_with_fee,Loan fee: €350k,Defender,Holstein Kiel,Borussia Dortmund,-0.9,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,Out,Thomas Meunier,/thomas-meunier/profil/spieler/100986,32.0,Belgium,Right-Back,2500000.0,Trabzonspor,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,free,free transfer,Defender,Trabzonspor,Borussia Dortmund,,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,Out,Anthony Modeste,/anthony-modeste/profil/spieler/50512,35.0,France,Centre-Forward,700000.0,Al Ahly,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,free,free transfer,Attacker,Al Ahly,Borussia Dortmund,,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,Out,Raphaël Guerreiro,/raphael-guerreiro/profil/spieler/170986,29.0,Portugal,Attacking Midfield,20000000.0,Bayern Munich,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,free,free transfer,Midfielder,Bayern Munich,Borussia Dortmund,,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,Out,Mahmoud Dahoud,/mahmoud-dahoud/profil/spieler/191422,27.0,Syria,Central Midfield,12000000.0,Brighton,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,free,free transfer,Midfielder,Brighton,Borussia Dortmund,,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,Out,Luca Unbehaun,/luca-unbehaun/profil/spieler/388815,22.0,Germany,Goalkeeper,650000.0,SC Verl,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,free,free transfer,Goalkeeper,SC Verl,Borussia Dortmund,,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,Out,Felix Passlack,/felix-passlack/profil/spieler/274461,25.0,Germany,Right-Back,1500000.0,VfL Bochum,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,free,free transfer,Defender,VfL Bochum,Borussia Dortmund,,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
transfer,Borussia Dortmund,Out,Soumaïla Coulibaly,/soumaila-coulibaly/profil/spieler/659513,19.0,France,Centre-Back,1000000.0,Royal Antwerp,,https://www.transfermarkt.co.uk/bundesliga/transfers/wettbewerb/L1/plus/?saison_id=2023&s_w=&leihe=1&intern=0&intern=1,2023-bundesliga,loan_free,loan transfer,Defender,Royal Antwerp,Borussia Dortmund,,2023,bundesliga,-23200000.0,26,26.4,13,Bundesliga,Germany,5020000000.0
