buyer,theta_medio,n_transacoes,ivb_pct,rank
RC Lens,0.007120320386401563,44,0.4473684210526316,106
SD Huesca,0.007111259353461463,5,0.4421052631578947,107
Zulte Waregem,0.007007507726559257,22,0.4368421052631579,108
SC Freiburg,0.006939538849753962,35,0.43157894736842106,109
Burnley FC,0.006934923061629247,37,0.4263157894736842,110
West Ham United,0.006606364785491327,46,0.42105263157894735,111
Southampton FC,0.006549553705692694,37,0.41578947368421054,112
Deportivo de La Coruña,0.006382828741767627,4,0.4105263157894737,113
Cagliari Calcio,0.006099061252334317,50,0.4052631578947368,114
Arsenal FC,0.005991037669749924,40,0.4,115
Torino FC,0.0059110162168805784,42,0.39473684210526316,116
CD Nacional,0.005527554528495685,4,0.3894736842105263,117
Montpellier HSC,0.0054097219804192555,19,0.38421052631578945,118
Brentford FC,0.005335270742597901,21,0.37894736842105264,119
Fulham FC,0.0052016043079839164,27,0.3736842105263158,120
CA Osasuna,0.005105031647238359,16,0.3684210526315789,121
LOSC Lille,0.00500098663169829,51,0.3631578947368421,122
Leeds United,0.004532786316868104,20,0.35789473684210527,123
Liverpool FC,0.004142423417373019,27,0.3526315789473684,124
KAA Gent,0.003977327176211001,60,0.3473684210526316,125
TSG 1899 Hoffenheim,0.0039194608636193284,38,0.34210526315789475,126
1.FSV Mainz 05,0.0037063096776188335,38,0.3368421052631579,127
Borussia Mönchengladbach,0.0035787746011988,28,0.33157894736842103,128
Royal Antwerp FC,0.0034393020463103926,38,0.3263157894736842,129
FC Girondins Bordeaux,0.0033497326775632336,19,0.32105263157894737,130
Oud-Heverlee Leuven,0.00326812212138511,24,0.3157894736842105,131
Manchester United,0.003139142608065332,33,0.3105263157894737,132
Brighton & Hove Albion,0.002982669225674686,64,0.30526315789473685,133
Nottingham Forest,0.002962347620205112,49,0.3,134
Paris FC,0.002587669164657891,10,0.29473684210526313,135
Cádiz CF,0.0025107537762911704,13,0.2894736842105263,136
West Bromwich Albion,0.0018237138315015482,6,0.28421052631578947,137
Stade Rennais FC,0.001722828745984307,61,0.2789473684210526,138
Crystal Palace,0.0017073482399945757,31,0.2736842105263158,139
Holstein Kiel,0.0016347546017650763,4,0.26842105263157895,140
Union Saint-Gilloise,0.001334099498675591,28,0.2631578947368421,141
